
;────────────
;범용 캐릭터 라인 변수
;────────────

;<※>       현재 정의(대입)를 하지 않은플래그
;! 말소 예정! 말소 예정플래그(주로 후방 호환이기 때문에 존재)

;────────────────────────────────────
;조교지령 명칭(ACT) 통상행동 0-199
;────────────────────────────────────

;-------------------------------------------------
;회화계
;-------------------------------------------------
0,지금 기분을 물어본다
;V나 A삽입 조르기 및 삽입하게 해달라고 조르기 - 수치계 @MilkShake(20/02/09)
;-------------------------------------------------
35,정상위 애널
36,후배위 애널
37,기승위 애널
38,대면좌위 애널
39,배면좌위 애널
47,Ｖ조르기
48,Ａ조르기
49,삽입조르기
69,목조르기
76,짓밟기
77,촛불
93,다정하게 대한다
104,역애널강간
110,사랑을 고백한다

;────────────────────────────────────
;조교지령 명칭(SPACT) 200-299
;────────────────────────────────────
200,패스 웨이 존 니들
201,팔방귀박진
202,광기의 눈동자

;────────────────────────────────────
;조교지령 명칭(조수콤비 파생 ACT)
;────────────────────────────────────
300,Ｗ수음
301,Ｗ펠라
302,Ｗ키스
303,Ｗ스마타
304,Ｗ파이즈리
305,Ｗ풋잡
306,기승위이중공격
307,대면이중공격
308,변칙흐트러진모란
309,항문이중공격
310,Ｗ역강간
311,골짜기
312,이중이라마치오

;────────────────────────────────────
;조수행동명칭(조수ACT)  800-999
;────────────────────────────────────
801,입으로 애무
802,스마타
803,파이즈리한다
804,풋잡하기
805,Ｃ도구
806,역강간
807,손으로 애무

810,애널애무
811,항문펠라
812,항문로터
813,애널바이브

820,가슴애무
821,유두핥기
822,유두로터

830,손가락삽입
831,바이브
832,성교

840,키스
841,안면승마
842,발을핥게한다

850,자위를과시한다
851,매도
852,사진촬영
853,조교자와키스
854,치태를보인다

860,머리를짓밟는다

870,탈의
871,약품
872,대기

;────────────────────────────────────
;조수행동명칭(조수SPACT)
;────────────────────────────────────
900,신문 기사로 한다

;────────────────────────────────────
;1000～1100  <※>절정의 표시에 사용한다
;────────────────────────────────────

;────────────────────────────────────
;굴복실적(조교이력) 1300-1427
;────────────────────────────────────
;문언 변경＆코멘트 부가. 니이가타식 대응(조정)@revkoishi(14/05/28)
;서식:nX___STR1___STR2
;n… 실적 Lv를 나타내는 반각 숫자 1자. Lv1～5는 각각 1/2/3/5/10 pt에 상당
;X… 굴복실적이 유효가 되는조교대상의 성별을 나타내는 반각 영대 문자 1자.
;   A=ALL(♂♀쌍)/M=MALE(♂)/F=FEMALE(♀)/T=TWIN(쌍)/P=PENIS(♂쌍)/V=VAGINA(♀쌍)/S=SINGLE(♂♀)
;STR1… 조교이력의 문언(TARGET 시점)
;STR2… 취득시의 표시 문언(MASTER 시점)
;------------------------------------------------------------------------
;   기존분                                                   Lv1( 0～11) 굴복포인트+1
1300,1A___호의를 품게 했다___마음을 허락했다,                      ;【굴복:0】호의적 반응(조교 대상이 적극적으로 따른다 계통을 선택)
1301,1A___몸을 벗겼다___몸이 벗겨졌다,                        ;【굴복:1】알몸이 됨(MASTER의 의복이 없어짐)(※양말 등은 착의로 치지 않음)
1302,1P___발기시켰다___발기했다,                            ;【굴복:2】발기시킴(발기도1000 돌파)
1303,1A___\@ PENIS(MASTER) ? 페니스 # 클리토리스 \@를 느끼게 했다___쾌C가 1000이상,   ;【굴복:3】쾌C를 1000이상 전해줌
1304,1V___보지를 느끼게 했다___쾌V가 1000이상,            ;【굴복:4】쾌V를 1000이상 전해줌
1305,1A___아누스를 느끼게 했다___쾌A가 1000이상,              ;【굴복:5】쾌A를 1000이상 전해줌 코멘트 부분을 쾌B→쾌A로 수정@revkoishi(14/06/01)
1306,1A___가슴을 느끼게 했다___쾌B가 1000이상,                  ;【굴복:6】쾌B를 1000이상 전해줌 코멘트 부분을 쾌A→쾌B로 수정@revkoishi(14/06/01)
1307,1A___압도했다___압도당했다,                            ;【굴복:7】고통、공포(가 발생)
1308,1A___채찍으로 혼냈다___채찍으로 맞았다,                    ;【굴복:8】채찍으로 때림
1309,1A___애널 조교했다___애널 조교를 받았다,              ;【굴복:9】애널 조교(쾌A발생)
1310,1A___구속했다___구속당했다,                            ;【굴복:10】구속함
1311,1A___입술을 빼앗다___입술을 빼앗겼다,                        ;【굴복:11】키스
;                                                           Lv2(12～33) 굴복포인트+2
1312,2A___Ｃ절정시켰다___Ｃ절정했다,                        ;【굴복:12】Ｃ절정
1313,2V___Ｖ절정시켰다___Ｖ절정했다,                        ;【굴복:13】Ｖ절정
1314,2A___Ａ절정시켰다___Ａ절정했다,                        ;【굴복:14】Ａ절정
1315,2A___Ｂ절정시켰다___Ｂ절정했다,                        ;【굴복:15】Ｂ절정
1316,2A___야외로 끌어냈다___야외에 끌려갔다,            ;【굴복:16】야외 플레이
1317,2A___거울 앞에서 욕보였다___거울 앞에서 욕보였다,              ;【굴복:17】수치 플레이
1318,2A___방뇨시켰다___방뇨하게 했다,                      ;【굴복:18】방뇨시킴(조교대상이 따름 계통을 선택)
1319,2P___사정시켰다___사정했다,                            ;【굴복:19】사정
1320,2P___대량 사정시켰다___대량 사정했다,                    ;【굴복:20】대량 사정
1321,2P___조루 사정시켰다___조루 사정했다,                    ;【굴복:21】사정(조루)
1322,2V___질내 사정했다___질내 사정당했다,                    ;【굴복:22】질내 사정시킴
1323,2V___바이브를 썼다___질에 이물을 삽입당했다,            ;【굴복:23】바이브
1324,2A___Ａ도구로 괴롭혔다___아누스에 이물을 삽입당했다,        ;【굴복:24】애널바이브、비즈
1325,2P___질로 쥐어짰다___질로 쥐어짜였다,                ;【굴복:25】질내사정
1326,2A___자위 절정시켰다___자위로 절정했다,                  ;【굴복:26】자위절정
1327,2A___구강사정했다___구강사정당했다,                    ;【굴복:27】입싸당함(펠라/이라마中에 조교자가 사정)
1328,2P___입으로 짜냈다___입으로 짜내졌다,                ;【굴복:28】입싸(조교자 펠라中에 사정)
1329,2A___적극적으로 봉사시켰다___적극적으로 봉사했다,            ;【굴복:29】적극봉사(봉사계 혹은 발핥기/이라마中、적극적으로 따름)
1330,2A___섹스했다___섹스했다,                      ;【굴복:30】성교
1331,2A___섹스에 열중시켰다___섹스에 열중했다,      ;【굴복:31】허리를 흔듦(성교中 적극적으로 따름)
1332,2A___욕정시켰다___격렬하게 욕정했다,                ;【굴복:32】정욕(조교 대상의 상태가 정욕)
1333,2A___애태우기 플레이했다___애태워졌다,                    ;【굴복:33】애태우기 플레이
;                                                           Lv3(34～49) 굴복포인트+3
1334,3A___구속한 채로 절정당했다___구속당한 채로 절정했다,  ;【굴복:34】구속절정
1335,3A___관장했다___관장을 받았다,                          ;【굴복:35】관장
1336,3A___실금당했다___실금했다,                            ;【굴복:36】실금
1337,3A___다중절정시켰다___다중절정했다,                    ;【굴복:37】다중절정(복수개소 동시절정)
1338,3A___동시절정했다___조교자와 동시에 절정했다,            ;【굴복:38】동시절정(조교대상、조교자 동시절정)
1339,3A___성교로 동시절정했다___성교로 동시절정했다,          ;【굴복:39】성교 동시절정(성교中、삽입자 사정시에 피삽입자가 A/V절정)
1340,3V___분유시켰다___분유했다,                            ;【굴복:40】분유
1341,3P___아누스로 쥐어짰다___아누스로 쥐어짜였다,        ;【굴복:41】애널에 사정
1342,3A___장내에 사정했다___장내 사정당했다,                    ;【굴복:42】애널에 사정시킴
1343,3P___뽑지 않고 두 발째___뽑지 않고 두 발,                    ;【굴복:43】뽑지 않고 두 발(사정후 삽입을 중단하지 않고 사정)
1344,3P___드라이사정시켰다___드라이사정했다,                        ;【굴복:44】空사정
1345,3P___전립선 사정시켰다___전립선을 괴롭힘당해 사정했다,      ;【굴복:45】전립선 사정
1346,3A___아누스에 삽입했다___아누스를 범해졌다,              ;【굴복:46】애널섹스(받음)
1347,3A___아누스에 삽입시켰다___아누스에 삽입하게 되었다,      ;【굴복:47】애널섹스(함)
1348,3A___벌을 줬다___벌을 받았다,                  ;【굴복:48】벌주기(벌주기時、공포/고통이 발생)
1349,3A___가게 해달라고 말하게 했다___가게 해달라고 애원했다,          ;【굴복:49】가게 해 줘！
;                                                           Lv4(50～56) 굴복포인트+5
1350,4A___배설당했다___배설의 순간을 보여졌다,                ;【굴복:50】배설(관장기＋플러그해제時)
1351,4A___공중변소를 시켰다___공중변소가 되었다,                ;【굴복:51】공중변소(공중변소 플레이 수용時)
1352,4V___삼각목마에 태웠다___삼각목마에 태워졌다,          ;【굴복:52】삼각목마
1353,4V___보지를 확장했다___질확장을 받았다,              ;【굴복:53】Ｖ확장(피스트/양구멍 피스트時)
1354,4A___아누스를 확장했다___아누스 확장을 받았다,            ;【굴복:54】Ａ확장(A피스트/양구멍 피스트時)
1355,4P___뽑지 않고 세 발째___뽑지 않고 세 발,                    ;【굴복:55】뽑지 않고 세 발(뽑지 않고 두 발 후 삽입을 중단하지 않고 사정)
1356,4A___실신시켰다___실신했다,                            ;【굴복:56】실신
;                                                           Lv5(57～58) 굴복포인트+10
1357,5V___처녀를 빼앗았다___처녀 상실했다,                      ;【굴복:57】처녀상실
1358,5P___동정을 빼앗았다___동정 상실했다,                      ;【굴복:58】동정상실
;   이하, 추가분                                             LvX(59～111)굴복포인트 +X
1359,3F___시오후키시켰다___시오후키했다,                        ;【굴복:59】시오후키
1360,3V___질내사정으로 Ｖ절정시켰다___질에 사정당해 절정했다,  ;【굴복:60】질내사정Ｖ절정(조교자에게 질내사정당하고 동시에 조교대상이 Ｖ절정)
1361,4V___사중절정시켰다___사중절정했다,                    ;【굴복:61】사중절정
1362,1V___애액을 흘러나오게 했다___애액이 흘러나왔다,                  ;【굴복:62】흘러나옴(윤활1000돌파)
1363,5V___아이를 임신시켰다___아이를 잉태해버렸다,                    ;【굴복:63】아이를 임신했다(조교 대상의 임신) @MilkShake(20/02/09)
1364,5P___아이를 잉태했다___아이를 잉태시켜 버렸다,                     ;【굴복:64】아이를 임신시켰다(조교자의 임신)   @MilkShake(20/02/09)
1365,3A___촛농으로 괴롭혔다___촛농으로 고문당했다,                      ;【굴복:65】촛농 고문당했다   @MilkShake(20/02/09)


;------------------------------------------------------------------------
;   구상독자실적시스템
;STR:1412～1427대신에 CSTR:TARGET:70～85를 참조합니다
;한층 더 FORM 캐릭터 라인을 전개했다는 하지 않습니다만, 거기는구상담당자가 상손 있고 일 해 줄 것입니다. 좋다?
;후는구상로부터@MARK_CHECK_GET를 부르든지, @KOJO_CHECK_SURRENDER_KX내에서 판정하자마자 하면 대개 OK
;타이밍이 특수한 것은 상당히 상손 있고 일 해도 만들 수 없을지도 모르지만…
;------------------------------------------------------------------------
;   이하, 구상용 리저브                                    LvX(112～127)굴복포인트 +X
1412,%CSTR:TARGET:구상독자실적1%,                           ;【굴복:112】구상독자실적용 리저브 1
1413,%CSTR:TARGET:구상독자실적2%,                           ;【굴복:113】구상독자실적용 리저브 2
1414,%CSTR:TARGET:구상독자실적3%,                           ;【굴복:114】구상독자실적용 리저브 3
1415,%CSTR:TARGET:구상독자실적4%,                           ;【굴복:115】구상독자실적용 리저브 4
1416,%CSTR:TARGET:구상독자실적5%,                           ;【굴복:116】구상독자실적용 리저브 5
1417,%CSTR:TARGET:구상독자실적6%,                           ;【굴복:117】구상독자실적용 리저브 6
1418,%CSTR:TARGET:구상독자실적7%,                           ;【굴복:118】구상독자실적용 리저브 7
1419,%CSTR:TARGET:구상독자실적8%,                           ;【굴복:119】구상독자실적용 리저브 8
1420,%CSTR:TARGET:구상독자실적9%,                           ;【굴복:120】구상독자실적용 리저브 9
1421,%CSTR:TARGET:구상독자실적10%,                          ;【굴복:121】구상독자실적용 리저브 10
1422,%CSTR:TARGET:구상독자실적11%,                          ;【굴복:122】구상독자실적용 리저브 11
1423,%CSTR:TARGET:구상독자실적12%,                          ;【굴복:123】구상독자실적용 리저브 12
1424,%CSTR:TARGET:구상독자실적13%,                          ;【굴복:124】구상독자실적용 리저브 13
1425,%CSTR:TARGET:구상독자실적14%,                          ;【굴복:125】구상독자실적용 리저브 14
1426,%CSTR:TARGET:구상독자실적15%,                          ;【굴복:126】구상독자실적용 리저브 15
1427,%CSTR:TARGET:구상독자실적16%,                          ;【굴복:127】구상독자실적용 리저브 16
;────────────────────────────────────


;～1600

;3000～3100 <※>예약
